 차량명 , 크기 , 분류 ,브랜드,전기차여부, 기본가격 , 출시년월 ,23.01,23.02,23.03,23.04,23.05,23.06,23.07,23.08,23.09,23.10,23.11,23.12,24.01,24.02,24.03,24.04
기아 쏘렌토,중형,SUV,기아,,"37,860,000",2023.08,,,,,,,,,"10,190","8,777","9,364","8,068","9,284","8,671","8,974","7,865"
기아 스포티지,중형,SUV,기아,,"32,130,000",2021.07,"5,492","5,689","6,018","6,282","6,185","6,418","6,625","5,210","5,402","4,707","5,982","5,739","5,934","6,991","6,736","7,179"
기아 셀토스,소형,SUV,기아,,"21,860,000",2022.07,"3,366","5,552","3,891","4,119","4,792","5,224","4,770","3,512","4,399","3,008","4,446","3,758","3,944","3,967","4,748","5,025"
기아 K5,중형,세단,기아,,"31,830,000",2023.11,,,,,,,,,,,"3,783","3,563","3,336","2,970","3,577","3,168"
기아K8,준대형,세단,기아,,"37,820,000",2021.04,"3,451","4,168","4,569","4,011","4,487","4,469","3,513","2,457","2,406","2,248","2,799","1,859","2,917","2,165","2,016","1,988"
기아 K3,준중형,세단,기아,,"18,250,000",2021.04,950,"1,024","1,197",670,975,"1,540",976,"1,123","1,036",939,"1,428","1,346","1,419","1,315","1,460","1,336"
기아 니로,소형,SUV,기아,,"27,130,000",2022.01,"1,268","1,170","1,482","1,391","1,468","1,534","1,370","1,302","1,505","1,359","1,293","1,172","1,220",938,917,"1,597"
기아 EV9,대형,SUV,기아,전기차,"73,370,000",2023.06,,,,,,"1,334","1,251",408,"1,163",833,375,"2,688",449,124,183,174
기아 모하비,대형,SUV,기아,,"50,540,000",2019.09,482,504,710,483,318,510,459,379,317,293,313,252,291,241,298,257
기아 K9,대형,세단,기아,,"65,880,000",2021.06,431,301,432,422,310,366,372,347,232,226,236,223,175,191,140,253
기아 EV6,중형,SUV,기아,전기차,"52,750,000",2021.08,,"1,951","3,009","2,694","1,894","1,379","1,398",948,601,"1,564","1,096",693,29,155,"1,275","1,036"
기아 니로EV,소형,SUV,기아,전기차,"48,600,000",2022.06,1,418,737,729,522,458,244,392,176,236,248,84,19,2,134,218
기아 니로 플러스,소형,SUV,기아,전기차,"47,550,000",2022.05,,292,460,475,462,298,303,115,103,218,120,70,2,0,86,123
람보르기니 urus S,대형,SUV,람보르기니,," 290,000,000 ",2022.11,,,,6,15,17,21,19,13,15,10,11,0,0,24,15
람보르기니 Huracan EVO,스포츠카,스포츠카,람보르기니,," 348,000,000 ",2023.09,, 6 ,5,21,29,10,13,6,32,12,12,27,7,4,5,5
람보르기니 urus,대형,SUV,람보르기니,," 328,900,000 ",2022.09,,,,4,14,12,11,15,4,8,11,9,0,0,2,40
렉서스 ES,준대형,세단,렉서스,," 66,900,000 ",2024.03, 476 , 967 ,1003,648,546,825,568,589,465,529,562,661,556,432,822,607
렉서스 NX,중형,SUV,렉서스,,,2024.05, 65 , 313 ,264,297,339,358,227,258,223,230,358,424,241,261,136,12
렉서스 NEW RX,대형,SUV,렉서스,," 98,700,000 ",2023.10,,,,,5,359,225,164,153,131,163,184,116,155,176,157
렉서스 UX,중형,SUV,렉서스,," 50,900,000 ",2023.07, 18 , 51 , 97 ,66,68,76,41,54,59,63,79,76,65,55,72,77
렉서스 LS,대형,세단,렉서스,," 157,400,000 ",2023.12, 14 , 13 , 10 ,13,13,18,19,11,6,2,6,21,11,10,8,14
렉서스 RZ,중형,SUV,렉서스,전기차," 84,900,000 ",2023.07,,,1,0,2,18,8,15,6,8,13,4,8,3,3,53
렉서스 LC,스포츠카,스포츠카,렉서스,," 192,400,000 ",2023.07,,,1,1,1,1,0,0,4,0,2,0,1,,,
벤츠 The New GLC-Class,중형,SUV,벤츠,," 87,900,000 ",2023.10,,,,,,,687,1140,333,431,482,911,319,268,634,645
벤츠 GLE-clss,대형,SUV,벤츠,," 134,300,000 ",2023.10,,,,,,,,356,442,363,712,1116,530,480,521,462
벤츠 S-class,대형,세단,벤츠,," 247,000,000 ",2023.10, 727 ," 1,077 ",883,659,710,1431,876,633,382,395,600,1036,169,296,358,547
벤츠 EQE SUV,대형,SUV,벤츠,전기차," 109,900,000 ",2024.04,,,,,,1,151,152,129,72,119,260,98,83,238,192
벤츠 G-Class,대형,SUV,벤츠,," 181,600,000 ",2023.11, 43 , 18 ,24,381,292,315,273,216,105,180,128,193,64,19,170,256
밴츠 maybach,대형,세단,벤츠,," 300,000,000 ",2023.09, 63 ,143,168,111,144,188,83,118,71,84,196,239,29,36,49,76
밴츠 EQE,준대형,세단,벤츠,전기차," 103,500,000 ",, 65 , 234 ,230,152,250,393,219,187,113,52,136,263,55,43,65,45
밴츠 maybach GLS,대형,SUV,벤츠,," 262,000,000 ",2023.07, 3 , 4 ,85,185,140,110,60,75,48,53,90,134,22,30,29,-
밴츠 eqs,대형,세단,벤츠,전기차," 163,900,000 ",2023.07, 26 , 40 ,50,64,90,100,41,62,130,65,188,198,13,6,4,15
밴츠 cls-class,준대형,세단,벤츠,," 121,600,000 ",, 72 , 186 ,220,167,268,375,208,274,221,333,349,227,17,0,2,
벤츠 E-class,준대형,세단,벤츠,," 73,900,000 ",, 945 ," 1,624 ",2005," 1,277 "," 1,466 "," 2,091 "," 1,238 "," 1,384 "," 3,511 "," 3,578 "," 3,092 "," 1,427 ",94, 100 , 32 , 7 
밴츠 C-class,중형,세단,벤츠,," 68,800,000 ",2023.10, 291 , 605 ,407, 365 , 384 , 327 , 249 , 461 , 244 , 169 , 166 , 586 , 225 , 532 , 610 , 951 
벤츠 E-class 2024,준대형,세단,벤츠,," 73,900,000 ",2024.01,,,,,,,,,,,,,588,860,473,2074
벤츠 A-class 2024,준중형,세단,벤츠,," 47,100,000 ",2023.11,,,,,,,,,,,,186,181,218,260,367
벤츠 A-class,준중형,세단,벤츠,," 47,100,000 ",, 68 , 171 ,79, 47 , 132 , 65 , 21 , 15 , 10 , 9 , 23 , 13 , 5 ,,,
밴츠 the new maybach GLS,대형,SUV,벤츠,," 279,000,000 ",2024.04,,,,,,,,,,,,,,,,47
벤츠 EQS SUV,대형,SUV,벤츠,전기차," 155,000,000 ",2023.07, 2 , 101 , 91 ,60,61,203,105,97,77,65,134,189,38,23,28,42
볼보 xc60,중형,suv,볼보,," 86,400,000 ",2023.08, 179 , 143 ,734,582,357,333,577,258,899,457,710,602,402,499,374,400
볼보 s90,준대형,세단,볼보,," 86,470,000 ",2023.10, 271 , 338 ,325,206,306,286,281,268,158,191,165,216,155,125,171,242
볼보 xc90,대형,SUV,볼보,," 115,200,000 ",2023.10, 208 , 132 ,218,236,256,265,269,214,123,141,232,174,126,86,104,172
볼보 xc40,중형,SUV,볼보,," 49,200,000 ",2023.09, 19 , 42 ,323,176,300,217,83,119,43,19,230,333,108,152,157,177
볼보 S60,중형,세단,볼보,," 56,400,000 ",2023.08, 198 , 22 ,137,163,104,161,100,148,193,161,152,120,113,29,190,84
쉐보레 트랙스 크로스오버,소형,SUV,쉐보레,,"21,880,000",,,,,"3,072","3,396","3,842","2,807","2,129","1,425","3,043","2,306","1,637","2,246","1,447","1,485","1,737"
쉐보레 트레일블레이저,소형,SUV,쉐보레,,"27,990,000",,,,,,,,694,674,558,496,425,407,461,367,416,459
쉐보레 트래버스,대형,SUV,쉐보레,,"56,400,000",,80,85,108,128,90,117,106,63,58,199,81,47,119,117,78,51
쉐보레 타호,대형,SUV,쉐보레,,"93,900,000",,13,20,24,25,33,21,14,13,9,50,14,13,7,7,5,13
쉐보레 이쿼녹스,중형,SUV,쉐보레,,"31,450,000",,61,55,70,80,15,46,42,22,45,176,18,26,5,5,2,
쉐보레 볼트 EUV,소형,SUV,쉐보레,전기차,"44,900,000",,,,179,283,88,78,229,209,397,121,32,12,2,3,,
쉐보레 말리부,중형,세단,쉐보레,,"28,950,000",,20,24,29,5,0,5,4,0,0,0,0,15,1,1,0,1
쉐보레 볼트 EV,소형,SUV,쉐보레,전기차,"41,300,000",,,,18,53,13,31,49,29,19,17,19,0,0,5,,
아우디 q8,대형,SUV,아우디,," 122,849,000 ",2023.07, 80 , 83 ,102,15,43,32,38,43,49,38,72,62,21,9,21,25
아우디 a7,준대형,세단,아우디,," 102,800,000 ",2024.02, 30 , 67 ,77,26,34,37,71,56,45,41,32,35,9,23,18,32
아우디 a8,대형,세단,아우디,," 160,700,000 ",2023.07, 56 , 71 ,59,16,33,71,98,70,66,61,77,84,13,8,9,5
아우디 q4 etron,중형,SUV,아우디,전기차," 61,700,000 ",2023.08, 11 , 1 ,0,4,0,0,0,166,193,126,83,27,27,77,396,325
아우디 q3,중형,SUV,아우디,," 51,300,000 ",2023.12, 185 , 228 ,161,33,54,45,154,88,73,79,74,59,24,16,26,36
아우디 a6,준대형,세단,아우디,," 72,160,000 ",2023.07," 1,498 ", 998 ,975,182,242,671,573,646,571,471,545,539,22,56,84,136
아우디 A3,준중형,세단,아우디,," 42,230,000 ",2023.07, 67 , 98 ,79,16,133,100,123,121,103,81,111,115,17,25,13,42
아우디 q7,대형,SUV,아우디,," 121,270,000 ",2023.07, 57 , 116 ,151,29,85,101,109,84,47,52,66,67,11,10,9,28
아우디 q5,중형,SUV,아우디,," 70,780,000 ",2023.07, 141 , 155 ,196,51,110,156,169,149,158,105,202,110,10,9,26,22
아우디 A4,중형,세단,아우디,," 54,540,000 ",2023.07, 153 , 179 ,296,23,51,41,51,49,50,35,61,48,8,17,15,9
아우디 E-tron GT,준대형,세단,아우디,전기차," 145,200,000 ",2023.07, 17 , 19 ,8,5,10,4,15,5,4,5,3,4,7,77,396,325
아우디 A5,중형,세단,아우디,," 82,900,000 ",2024.03, 109 , 112 ,109,14,51,41,37,32,27,24,31,38,4,11,6,17
아우디 E-tron,대형,SUV,아우디,전기차," 118,380,000 ",, 3 , 24 ,4,46,10,17,23,14,15,9,17,7,6,2,20,79
제네시스 G90,대형,세단,제네시스,," 95,400,000 ",2024.03, 944 , 835 ,1120,1023,1417,1629,1102,1054,836,646,719,1154,768,605,550,829
제네시스 뉴 G80,준대형,세단,제네시스,," 58,900,000 ",2023.12,,,,,,,,,,,,,3468,3250,5266,4934
제네시스 뉴 GV80,대형,SUV,제네시스,," 69,300,000 ",2023.10,,,,,,,,,,858,3873,4437,4596,4652,4304,4084
제네시스 GV70,중형,SUV,제네시스,," 50,400,000 ",2023.07," 1,149 "," 2,468 "," 2,977 ",2446,2288,3781,3209,2833,2743,3467,2819,2617,2195,1796,1145,1592
제네시스 G70,중형,세단,제네시스,," 43,470,000 ",2023.07, 317 , 220 , 466 ,379,248,469,559,457,384,278,267,276,252,254,211,151
제네시스 GV60,중형,SUV,제네시스,," 64,330,000 ",2024.03, 7 , 210 , 716 ,530,598,422,227,127,104,111,96,50,7,10,68,88
제네시스 E GV70,중형,SUV,제네시스,전기차," 73,320,000 ",2023.07,,,,320,327,247,206,94,121,240,91,31,37,9,98,74
제네시스 E G80,준대형,세단,제네시스,전기차," 83,920,000 ",2023.12,,,,166,112,71,83,68,54,38,67,37,26,6,32,32
포르쉐 cayenne 신형,대형,SUV,포르쉐,," 145,400,000 ",2024.05,,,,,,,,256,140,294,347,378,357,490,517,340
포르쉐 Carera 911,스포츠카,스포츠카,포르쉐,," 171,100,000 ",2023.07, 62 , 101 ,101,136,147,136,105,174,119,99,60,62,85,90,73,107
포르쉐 panamera,스포츠카,스포츠카,포르쉐,," 173,600,000 ",2024.01,,,161,169,146,137,192,278,170,80,87,80,34,45,60,5
포르쉐 taycan,스포츠카,스포츠카,포르쉐,," 129,900,000 ",2023.07, 65 , 117 ,92,127,127,164,163,179,133,151,175,312,43,48,55,110
포르쉐 the new panamera,스포츠카,스포츠카,포르쉐,," 309,100,000 ",2024.04,,,,,,,,,,,,,,,,24
포르쉐 718 boxster,스포츠카,스포츠카,포르쉐,," 135,300,000 ",2023.07, 15 , 20 ,11,59,62,48,60,51,31,25,31,37,45,59,33,18
포르쉐 Macan,대형,SUV,포르쉐,," 107,800,000 ",2023.07, 57 , 74 ,142,96,35,93,150,164,90,44,31,35,107,84,36,10
포르쉐 cayenne,대형,SUV,포르쉐,," 145,400,000 ",,,,,544,469,516,276,2,3,3,7,2,0,0,1,1
폭스바겐 Touareg,대형,suv,폭스바겐,," 89,900,000 ",2023.07,, 17 ,59,27,47,77,108,92,68,55,77,67,8,7,22,19
폭스바겐 Golf,준중형,세단,폭스바겐,," 49,700,000 ",2023.10, 45 , 96 , 75 , 83 , 130 , 36 , 196 , 156 , 198 , 117 , 120 , 104 , 24 , 57 , 84 , 81 
폭스바겐 Jetta,준중형,세단,폭스바겐,," 34,260,000 ",2024.05, 12 , 87 , 58 , 86 , 3 , - , 103 , 214 , 128 , 103 , 109 , 397 , 9 , 166 , 211 , 115 
폭스바겐 Tiguan,중형,SUV,폭스바겐,," 45,480,000 ",2024.02, 89 , 270 , 230 , 399 , 565 , 291 , 603 , 506 , 405 , 299 , 379 , 608 , 8 , 195 , 235 , 152 
폭스바겐 Arteon,중형,세단,폭스바겐,," 58,700,000 ",2023.07, 23 , 47 , 30 , 79 , 117 , 27 , 181 , 172 , 93 , 125 , 135 , 203 , 2 , 30 , 45 , 40 
폭스바겐 ID.4,중형,SUV,폭스바겐,전기차," 54,900,000 ",,,,, 1 , - , 107 , 4 , 277 , 222 , 153 , 146 , 83 , 2 , 7 , 351 , 159 
현대 디올뉴 산타페,중형,SUV,현대,,"38,880,000",2023.08,,,,,,,,550,"4,239","7,946","8,657","7,627","8,014","7,413","7,884","5,847"
현대 디올뉴 그랜저,준대형,세단,현대,,"42,660,000",2022.11,"9,118","9,815","10,916","9,997","11,581","11,528","8,531","8,820","8,159","8,192","7,980","8,410","3,635","3,963","6,100","7,085"
현대 더뉴 아반떼,준중형,세단,현대,,"24,660,000",2023.03,,,"6,536","5,243","6,556","5,298","4,000","4,595","4,146","4,886","5,713","4,990","4,392","2,230","4,113","5,698"
현대 쏘나타 디엣지,중형,세단,현대,,"31,870,000",2023.05,,,,,"1,729","2,951","2,142","2,600","2,540","4,546","4,574","4,855",496,"1,397","4,074","4,695"
현대 더뉴 투싼,중형,SUV,현대,,"32,130,000",2023.12,,,,,,,,,,,,"3,588","5,152","3,070","3,524","4,262"
현대 디올뉴 코나,소형,SUV,현대,,"29,590,000",2023.01,620,"3,127","4,747","4,023","2,448","2,470","2,400","2,340","2,293","2,597","2,777","1,900","1,972","1,397","2,395","2,528"
현대 팰리세이드,대형,SUV,현대,,"38,960,000",2022.05,"3,922","3,539","4,820","4,096","3,553","3,164","3,264","3,752","2,935","2,825","3,157","2,066","1,741","2,365","1,974","1,789"
현대 아이오닉5,중형,SUV,현대,전기차,"54,160,000",2021.04,76,"1,911","1,701","2,123","2,396","1,297","1,350","1,061",612,"1,376","1,669",763,34,221,"1,810",
현대 아이오닉6,중형,세단,현대,전기차,"54,050,000",2022.09,23,"1,632","2,200","1,316","1,117",491,488,400,344,472,618,183,4,98,936,421
현대 디올뉴 코나 현대 일렉트릭,소형,SUV,현대,전기차,"45,660,000",2023.04,,,,,64,664,238,355,208,337,432,212,4,58,352,208
현대 베뉴,소형,SUV,현대,,"21,460,000",2019.07,646,492,526,449,511,952,546,904,771,"1,182",776,526,323,323,283,295
현대 넥쏘,중형,SUV,현대,,"69,550,000",2018.03,307,884,694,327,410,305,371,293,237,189,232,79,2,331,268,252
현대 더뉴 아반떼N,준중형,세단,현대,,"33,520,000",2023.07,,,,,,,2,163,221,131,115,152,46,62,75,108
현대 아이오닉5N,중형,SUV,현대,전기차,"76,000,000",2023.09,,,,,,,,,93,95,54,28,5,3,47,35
현대 더뉴 아이오닉5,중형,SUV,현대,전기차,"54,100,000",2024.03,,,,,,,,,,,,,,,,"1,549"
BMW 7 Series,대형,세단,BMW,," 199,800,000 ",,,,163,214,261,388,305,423,368,210,545,377,87,332,388,412
BMW X7,대형,SUV,BMW,," 150,500,000 ",, 290 , 195 ,296,225,260,305,439,384,292,501,587,625,387,298,356,340
BMW X5,대형,SUV,BMW,," 128,000,000 ",,,,,,,2,287,369,467,380,463,568,585,599,566,364
BMW 5 Series,준대형,세단,BMW,," 89,200,000 ",,,,,,,,,,,613,1799,1980,1126,2160,2252,1530
BMW X6,대형,SUV,BMW,," 131,400,000 ",,,,,,,,192,256,277,254,283,425,256,298,304,235
BMW 6 Series,준대형,세단,BMW,," 95,500,000 ",, 389 , 653 ,468,396,522,699,434,445,550,467,434,223,124,185,175,210
BMW 8 sereis,대형,세단,BMW,," 148,500,000 ",, 30 , 26 ,45,37,58,74,40,50,53,75,83,78,32,64,45,44
BMW 3 series,중형,세단,BMW,," 57,000,000 ",, 515 , 292 ,388,578,399,679,532,497,842,958,197,357,207,235,422,487
BMW X4,중형,SUV,BMW,," 72,100,000 ",, 635 , 922 ,445,385,299,545,359,365,318,228,231,402,318,295,355,371
BMW i5,준대형,세단,BMW,전기차," 93,900,000 ",,,,,,,,,,37,107,88,514,190,137,195,199
BMW X1,소형,SUV,BMW,," 59,400,000 ",,, 15 ,9,111,95,176,98,120,189,192,395,457,123,190,172,206
BMW 1 series,준중형,세단,BMW,," 47,300,000 ",, 73 , 83 ,67,76,95,148,112,111,228,275,318,209,38,70,62,53
BMW i7,대형,세단,BMW,전기차," 166,900,000 ",, 7 , 21 ,28,41,27,64,38,96,165,159,176,236,42,78,60,68
BMW XM,대형,SUV,BMW,," 223,300,000 ",,,,15,0,114,67,3,0,29,63,60,44,33,34,37,10
BMW 2 series,준중형,세단,BMW,," 49,600,000 ",, 42 , 57 ,47,34,42,66,34,41,96,60,64,27,10,46,41,18
BMW Z4,스포츠카,스포츠카,BMW,," 74,500,000 ",,,,33,35,64,89,38,49,46,40,26,40,43,32,33,70
BMW X3,중형,SUV,BMW,," 84,300,000 ",, 731 , 404 ,605, 534 , 397 , 275 , 340 , 316 , 299 , 221 , 335 , 477 , 389 ,,,
BMW ix3,중형,SUV,BMW,전기차," 82,600,000 ",, 23 , 4 ,101,138,336,328,276,374,467,238,249,114,73,,,